target_date,expected_revenue,realized_revenue,net_revenue,soc_initial,soc_terminal,solve_time_s
2025-02-01,9644786.997334149,1784673.7217894273,1381057.6413664678,100.0,20.0,0.8816287517547607
2025-02-02,9133661.348698772,565039.925540862,294476.17927136796,20.0,20.0,0.8836140632629395
2025-02-03,9245074.467582427,1631536.43679179,1202979.8784143708,20.0,20.0,1.3106708526611328
2025-02-04,9128860.015033865,1611137.8789683038,1185724.0758459265,20.0,20.0,0.9357221126556396
2025-02-05,9375369.892681573,1749033.6495682097,1318902.4533289087,20.0,20.0,0.9167790412902832
2025-02-06,9040756.385835249,1726781.6293889466,1373058.6087331441,20.0,20.0,0.8773329257965088
2025-02-07,9078792.501059752,1488094.5524288074,1136602.572744756,20.0,20.0,0.8576560020446777
2025-02-08,8693034.980835224,1219376.6007041014,822870.3904357648,20.0,20.0,0.9969320297241211
2025-02-09,9125975.830223538,543186.775343952,285209.7103204451,20.0,20.0,0.873809814453125
2025-02-10,8822978.730992815,1754533.258218652,1397043.9755857484,20.0,20.0,0.8700439929962158
2025-02-11,8638284.254877679,2056114.3747523543,1696182.698360303,20.0,20.0,0.8565812110900879
2025-02-12,8576364.12721465,1555950.1843632925,1199361.66372883,20.0,20.0,0.9047162532806396
2025-02-13,8758882.786303913,1740245.0522994753,1310703.4081913128,20.0,20.0,0.8620691299438477
2025-02-14,8767532.487185948,1444645.5007368235,1086344.6491757836,20.0,20.0,0.8687000274658203
2025-02-15,9146097.437717058,1280702.890515248,1018895.8703031997,20.0,20.0,0.880814790725708
2025-02-16,9175850.92894462,67849.4401797617,-120779.61000317743,20.0,20.0,0.8608319759368896
2025-02-17,9621788.301489001,1681105.5344638801,1259618.2620702304,20.0,20.0,0.9401888847351074
2025-02-18,10127304.453151302,1856200.4606868257,1429305.0153045328,20.0,20.0,0.8406860828399658
2025-02-19,9668931.134684356,1822343.886509675,1393131.978279529,20.0,20.0,0.8310582637786865
2025-02-20,9568944.180086918,1935423.6992273815,1580748.7841677577,20.0,20.0,0.8799560070037842
2025-02-21,9491182.894893968,2526040.7210511747,2090998.3908093516,20.0,20.0,0.8696410655975342
2025-02-22,8883683.113442145,2363029.375920672,1929437.6578137006,20.0,20.0,0.8607990741729736
2025-02-23,8266376.609070288,1000929.4944112233,739796.4742497568,20.0,20.0,0.8560309410095215
2025-02-24,8004160.313424258,1872073.1870477975,1541590.2906341348,20.0,20.0,0.8424930572509766
2025-02-25,7695799.163275728,1447554.4009175869,1163406.1039386815,20.0,20.0,0.8491499423980713
2025-02-26,7684158.900669032,1284827.0910420236,935234.2688237212,20.0,20.0,0.8510050773620605
2025-02-27,8379375.413554823,1112875.93495649,971260.0241482102,20.0,20.0,0.9142782688140869
2025-02-28,8749119.755949017,1571861.499764907,1225964.3778054994,20.0,20.0,0.8509259223937988
2025-03-01,9423678.73756432,1329865.3959620467,994183.3146232506,20.0,20.0,0.8809001445770264
2025-03-02,9775665.027253658,754100.1452163891,428553.6302154063,20.0,20.0,0.8413031101226807
2025-03-03,10065420.888342531,1653377.694152569,1225506.097566652,20.0,20.0,0.837958812713623
2025-03-04,9865799.11329483,1367656.750244113,936732.0665024926,20.0,20.0,0.851423978805542
2025-03-05,9834346.34176659,1974638.0830342171,1618321.230989815,20.0,20.0,0.8451588153839111
2025-03-06,9096296.759073133,1298968.0412968528,893654.5236130175,20.0,20.0,0.804894208908081
2025-03-07,8953046.849753642,1637396.4655919257,1351043.3130831362,20.0,20.0,0.832517147064209
2025-03-08,9791055.293440696,1315660.282326244,959485.9313715661,20.0,20.0,0.8090360164642334
2025-03-09,9412847.694421535,1390273.0456076064,1044928.022857816,20.0,20.0,0.8109617233276367
2025-03-10,8938641.160385173,1163289.7670329893,805030.9813813342,20.0,20.0,0.8006119728088379
2025-03-11,8481345.18545172,1384784.8418233423,960276.0660639056,20.0,20.0,0.9277420043945312
2025-03-12,8517085.487606984,1294456.3848616295,1007782.5402154706,20.0,20.0,0.7999858856201172
2025-03-13,8513190.11276513,1155461.2628360032,827659.3708769286,20.0,20.0,0.8118007183074951
2025-03-14,8899936.27210727,604681.1698048802,409987.8903313384,20.0,20.0,0.8021469116210938
2025-03-15,8301621.101644628,957729.0698587539,752977.2388024697,20.0,20.0,0.8136370182037354
2025-03-16,9481258.962372808,745767.6374331081,567047.5080561882,20.0,20.0,0.8143618106842041
2025-03-17,9944728.3447139,839853.3287699199,626539.5303054352,20.0,20.0,0.8421118259429932
2025-03-18,10094431.952685196,899089.7736319599,683778.2255869766,20.0,20.0,0.8020298480987549
2025-03-19,9709035.371962087,1444411.351906501,1162056.3653069192,20.0,20.0,0.832118034362793
2025-03-20,9165157.764182335,1843025.9945729715,1559654.525059971,20.0,20.0,0.8138821125030518
2025-03-21,8811676.553489331,1969297.066346727,1827953.9700521731,20.0,20.0,0.8259329795837402
2025-03-22,8566902.329135755,1948090.157950243,1738702.5499059288,20.0,20.0,0.8401257991790771
2025-03-23,8389055.025653247,195141.45222620352,-4675.9094771062955,20.0,20.0,0.8863611221313477
2025-03-24,9458251.506512776,736990.8618754616,528261.7982589297,20.0,20.0,0.85418701171875
2025-03-25,10557688.618015656,1047557.7760914024,768014.8661907541,20.0,20.0,0.8545510768890381
2025-03-26,10897129.249055356,1144717.4118622695,929644.1083244258,20.0,20.0,0.8663549423217773
2025-03-27,11218586.98988626,1929337.7295006819,1571251.484872954,20.0,20.0,0.857083797454834
2025-03-28,11610124.710038787,1471341.585005296,1253901.2526417335,20.0,20.0,0.846193790435791
2025-03-29,11302408.100344943,2972039.1258929623,2755377.2297944394,20.0,20.0,0.8927628993988037
2025-03-30,10757667.272719143,1018124.5354888366,816132.3280208984,20.0,20.0,0.8710780143737793
2025-03-31,10499966.788936496,1665662.4721375476,1454059.677352765,20.0,20.0,0.8452482223510742
2025-04-01,10476009.42219331,1811573.185991958,1462158.8190319627,20.0,20.0,0.8434669971466064
2025-04-02,10898707.58651589,1175623.1995638337,818842.8722263854,20.0,20.0,0.8339300155639648
2025-04-03,12875837.760051873,1860083.1473075154,1532545.2830365498,20.0,20.0,0.8754408359527588
2025-04-05,15482298.114576302,856417.0074798052,578651.829958296,20.0,20.0,0.8902106285095215
2025-04-06,17379667.96390308,889099.0841198436,690724.6108491124,20.0,20.0,0.8791549205780029
2025-04-07,17512694.579750136,2323973.914480305,2107039.2457442842,20.0,20.0,0.8667318820953369
2025-04-08,17249416.386829264,1670653.947976245,1381055.6940236152,20.0,20.0,0.8841509819030762
2025-04-09,16650034.30252523,2149684.333674721,1785838.0142535688,20.0,20.0,0.850308895111084
2025-04-10,15937635.06721448,3909270.5460960385,3702877.658050574,20.0,20.0,0.851233959197998
2025-04-11,14521469.771491406,4500753.888772403,4294127.442078549,20.0,20.0,0.8435711860656738
2025-04-12,13134044.196644725,1032804.2944565869,830473.327563616,20.0,20.0,0.853356122970581
2025-04-13,12584820.959525948,766037.5126554125,569224.8940089655,20.0,20.0,0.8671619892120361
2025-04-14,12962371.124270525,2286145.4786816277,2077763.5092379341,20.0,20.0,0.8711979389190674
2025-04-15,13482649.634537837,1448763.909419614,1232986.4851067686,20.0,20.0,0.8573148250579834
2025-04-16,15182574.003167197,1023614.816693462,807450.7767761452,20.0,20.0,0.840749979019165
2025-04-17,15395510.169234458,2357374.818776247,2140381.6948333015,20.0,20.0,0.8321318626403809
2025-04-18,15896441.565507598,3131091.893459648,2922781.3843599875,20.0,20.0,0.8600220680236816
2025-04-19,14983314.483127663,2616077.872894845,2402041.009471214,20.0,20.0,0.8546128273010254
2025-04-20,13981736.587061122,2456350.9306087974,2247171.208515107,20.0,20.0,0.8824112415313721
2025-04-21,14534488.953951567,2234458.677131953,1944582.7972264304,20.0,20.0,0.8724370002746582
2025-04-22,14910193.530576037,1996254.0651696543,1776334.520056536,20.0,20.0,0.8864231109619141
2025-04-23,13799115.277955499,1146173.1652613063,926641.5281118726,20.0,20.0,0.8763129711151123
2025-04-24,14899445.730017077,2143818.943181007,1857460.7466560365,20.0,20.0,0.872920036315918
2025-04-25,15788034.983761037,1913473.5817921406,1554634.9406908015,20.0,20.0,0.8750631809234619
2025-04-26,16726038.950625824,1876773.5823003007,1517519.1860045,20.0,20.0,0.8498749732971191
2025-04-27,16214542.299632957,3163597.081717813,2817444.7575687235,20.0,20.0,0.8365817070007324
2025-04-28,15846930.075283881,2929605.978881078,2712418.0752760516,20.0,20.0,0.8323638439178467
2025-04-29,14839498.28819032,2402567.2146880785,2117087.2841731575,20.0,20.0,0.8088588714599609
2025-04-30,13998650.115014145,2592335.146394477,2378235.130303313,20.0,20.0,0.8201577663421631
2025-05-01,12797210.543824073,2039460.0286338043,1838530.933583688,20.0,20.0,0.8155708312988281
2025-05-02,11234996.534100495,3143674.880919596,2933136.328275294,20.0,20.0,0.8098878860473633
2025-05-03,9877650.617676433,1978118.6236397517,1791977.34265571,20.0,20.0,0.9445052146911621
2025-05-04,9830728.525553016,1331755.6967743607,1133910.896563932,20.0,20.0,0.8079028129577637
2025-05-05,9514272.981956966,2037958.8525616997,1969745.9592530907,20.0,20.0,0.8239600658416748
2025-05-06,9063461.079146428,2535345.8883708194,2327483.8999529798,20.0,20.0,0.8349719047546387
2025-05-07,9222456.640814897,1264543.7796961474,1059696.3092559632,20.0,20.0,0.924901008605957
2025-05-08,9429001.921870746,872623.4901037844,667249.1103893977,20.0,20.0,0.7989997863769531
2025-05-09,9930643.451103942,1447171.9261201404,1228623.3220710116,20.0,20.0,0.8265600204467773
2025-05-10,10021243.844799014,1291191.0554740268,1073460.0475248005,20.0,20.0,0.8162598609924316
2025-05-11,11611603.410839159,1345106.6759405462,1134260.4308486935,20.0,20.0,0.831805944442749
2025-05-12,12235887.706960537,1858200.627899673,1640552.1941710452,20.0,20.0,0.8805246353149414
2025-05-13,12255810.510924146,2070616.4012042088,1782608.1406845413,20.0,20.0,0.9727418422698975
2025-05-14,12207772.774449665,1830473.1739658713,1611053.870107939,20.0,20.0,0.8809652328491211
2025-05-15,12510200.210052278,1533366.4073228606,1314054.204307618,20.0,20.0,0.8520081043243408
2025-05-16,13255345.844825035,1852301.9280665282,1565539.6185655245,20.0,20.0,0.8541789054870605
2025-05-17,13301479.405075196,3127945.0074250847,2917152.7369735586,20.0,20.0,0.9095358848571777
2025-05-18,12200304.389505625,2368385.371620032,2162594.7870956976,20.0,20.0,0.863084077835083
2025-05-19,11826021.697379187,1762338.3389955207,1546038.9038151593,20.0,20.0,0.8801841735839844
2025-05-20,11180077.699459795,1678410.4207946504,1461411.0111189415,20.0,20.0,0.8739728927612305
2025-05-21,10655308.051739926,2448779.321171747,2313229.465703569,20.0,20.0,0.8550329208374023
2025-05-22,10533079.262034124,3581074.2317370204,3370077.526825564,20.0,20.0,0.8333468437194824
2025-05-23,9117514.425082782,1133556.0129685863,924499.1736232016,20.0,20.0,0.8478519916534424
2025-05-24,9709990.099200344,1296628.0015014145,1095893.1255965065,20.0,20.0,0.8589520454406738
2025-05-25,9454635.428541249,2070140.6540019386,1872226.0918368394,20.0,20.0,0.8530139923095703
2025-05-26,8584746.71357651,1405173.5796129985,1160606.2034277888,20.0,20.0,0.8561348915100098
2025-05-27,8276445.370707012,1549974.0506789396,1339687.8923820069,20.0,20.0,0.8463888168334961
2025-05-28,8297970.292239634,1510982.923442439,1239725.9281132359,20.0,20.0,0.8534471988677979
2025-05-29,7787773.125672861,1135518.4256241706,934399.8907486643,20.0,20.0,0.846592903137207
2025-05-30,8314337.000964249,1552250.1840744545,1355984.1594660156,20.0,20.0,0.8258140087127686
2025-05-31,8571191.55484662,1267706.4273120484,1072085.9147780687,20.0,20.0,0.8445248603820801
2025-06-01,8965581.424754372,522502.6875120929,328956.5061755919,20.0,20.0,0.8659818172454834
2025-06-02,10150839.54627577,1008681.0147041412,806693.025910498,20.0,20.0,0.8508679866790771
2025-06-03,10611443.895788468,1210559.8673341302,1003340.0605810019,20.0,20.0,0.8109569549560547
2025-06-04,11232565.94718641,1191324.4389432904,986452.395875448,20.0,20.0,0.819957971572876
2025-06-05,11942886.727814203,1905768.2189876065,1690121.6918967757,20.0,20.0,0.8581640720367432
2025-06-06,11859110.32096894,2592807.3363341046,2375175.2819388043,20.0,20.0,0.9976208209991455
2025-06-07,12030944.814143585,1864252.0085795424,1588486.062406992,20.0,20.0,0.8063719272613525
2025-06-08,12548368.208077421,1802996.7259818465,1589195.064846901,20.0,20.0,0.8244798183441162
2025-06-09,12730503.938748263,1260901.3676908573,1042594.5950957179,20.0,20.0,0.8164610862731934
2025-06-10,13476239.587936556,1682561.5408757497,1465429.930818674,20.0,20.0,0.8332958221435547
2025-06-11,13579471.63234499,2235890.0303286063,2017655.5618056871,20.0,20.0,0.841641902923584
2025-06-12,13888276.703020755,2123524.639509747,1905610.1316405844,20.0,20.0,0.835974931716919
2025-06-13,13806157.652013678,2356118.6818215023,2137648.7600273164,20.0,20.0,0.8168280124664307
2025-06-14,12095058.908988882,2959851.3407220626,2616822.4648082512,20.0,20.0,0.8289730548858643
2025-06-15,10550668.573509047,1519736.722084353,1310741.6026646718,20.0,20.0,0.8080189228057861
2025-06-16,9621729.484501023,2346650.327760754,2136446.1586996857,20.0,20.0,0.8720760345458984
2025-06-17,8928123.424600793,2576363.453757249,2369082.0090919957,20.0,20.0,0.8286528587341309
2025-06-18,7972646.205914645,1011720.3190084902,813789.6886958722,20.0,20.0,0.8455328941345215
2025-06-19,5975441.269756823,429752.5197163966,233416.95345484416,20.0,20.0,0.6970040798187256
2025-06-20,4351358.095495408,826982.9241846728,631153.4592100603,20.0,20.0,0.5751357078552246
2025-06-21,3423121.317502876,902662.1524657705,694700.7200493453,20.0,20.0,0.47437214851379395
2025-06-22,2766349.529578884,620817.1472972165,426564.00673119724,20.0,20.0,0.3413069248199463
2025-06-23,2079193.5869601571,1514736.8079426542,1307074.9508264675,20.0,20.0,0.22815585136413574
2025-06-24,502154.35707701696,1011493.9832427455,806156.0793374598,20.0,20.0,0.12081313133239746
